state;action_reward;n_state 
1104&0|11037&0|4386&0|15360&0|12285&0|12685&1|19094&0|12269&0|13801&0|20225&0;14753&0|3307&0|7000&0;1104&0|11037&0|4386&0|15360&0|12285&0|12685&1|19094&0|12269&0|13801&0|20225&0|14753&0|3307&0|7000&0
11484&1|11945&0|13163&1|8566&0|15216&1|20481&1|9657&1|1284&0|4017&0|12604&1;15659&0|10642&0|1224&0;11484&1|11945&0|13163&1|8566&0|15216&1|20481&1|9657&1|1284&0|4017&0|12604&1|15659&0|10642&0|1224&0
9942&1|4000&0|16197&1|18671&1|18698&0|10747&1|10747&1|6885&1|7066&1|18698&1;1410&1|11958&1|18211&1;9942&1|4000&0|16197&1|18671&1|18698&0|10747&1|10747&1|6885&1|7066&1|18698&1|1410&1|11958&1|18211&1
5368&1|15517&1|12621&1|3905&1|19298&0|8398&1|9306&0|16791&1|12289&1|20392&0;12894&1|3905&1|18947&1;5368&1|15517&1|12621&1|3905&1|19298&0|8398&1|9306&0|16791&1|12289&1|20392&0|12894&1|3905&1|18947&1
985&0|2918&0|16445&1|2372&0|3492&0|9743&0|19105&0|4903&0|11327&0|15284&0;7821&1|6564&0|15356&1;985&0|2918&0|16445&1|2372&0|3492&0|9743&0|19105&0|4903&0|11327&0|15284&0|7821&1|6564&0|15356&1
12588&0|10710&1|13555&1|1224&1|19094&1|18940&0|5564&1|3163&1|17414&1|10932&1;3431&1|5039&1|19476&1;12588&0|10710&1|13555&1|1224&1|19094&1|18940&0|5564&1|3163&1|17414&1|10932&1|3431&1|5039&1|19476&1
5896&1|7692&0|2526&0|19737&0|7692&0|12507&0|12507&0|2526&0|3556&1|20356&1;663&0|6617&0|8052&0;5896&1|7692&0|2526&0|19737&0|7692&0|12507&0|12507&0|2526&0|3556&1|20356&1|663&0|6617&0|8052&0
14628&1|19968&1|5221&1|3866&1|2178&0|19374&1|19006&1|12062&0|4505&1|12062&0;6865&1|1289&1|8572&1;14628&1|19968&1|5221&1|3866&1|2178&0|19374&1|19006&1|12062&0|4505&1|12062&0|6865&1|1289&1|8572&1
20466&1|9454&1|1491&1|5323&1|14089&1|9430&1|663&1|20061&0|5896&0|7541&1;4507&1|9853&1|4152&1;20466&1|9454&1|1491&1|5323&1|14089&1|9430&1|663&1|20061&0|5896&0|7541&1|4507&1|9853&1|4152&1
40&0|8397&0|8397&1|5539&1|5539&1|8397&1|5539&1|5539&1|8397&0|40&0;9310&1|7421&1|14095&1;40&0|8397&0|8397&1|5539&1|5539&1|8397&1|5539&1|5539&1|8397&0|40&0|9310&1|7421&1|14095&1
12868&1|13598&0|10876&1|14652&0|11484&0|15216&1|14047&0|15216&0|7162&0|11484&0;11484&0|7162&0|13598&1;12868&1|13598&0|10876&1|14652&0|11484&0|15216&1|14047&0|15216&0|7162&0|11484&0|11484&0|7162&0|13598&1
19117&0|4726&0|20669&0|18843&0|18690&0|11310&0|4726&1|13647&0|18647&1|1277&0;11608&0|4297&0|11947&0;19117&0|4726&0|20669&0|18843&0|18690&0|11310&0|4726&1|13647&0|18647&1|1277&0|11608&0|4297&0|11947&0
10939&1|15098&0|7498&1|19883&0|7863&0|18816&1|8705&0|4675&1|19609&0|12210&0;13235&0|17356&0|10096&0;10939&1|15098&0|7498&1|19883&0|7863&0|18816&1|8705&0|4675&1|19609&0|12210&0|13235&0|17356&0|10096&0
3834&1|15100&0|20338&1|18625&1|15100&1|9853&1|9247&0|9133&1|14704&1|3958&1;8566&1|19639&1|10385&1;3834&1|15100&0|20338&1|18625&1|15100&1|9853&1|9247&0|9133&1|14704&1|3958&1|8566&1|19639&1|10385&1
8154&0|10107&1|11135&1|18265&1|73&0|8050&0|4517&0|2813&1|10448&0|7137&0;17808&0|9058&0|1437&0;8154&0|10107&1|11135&1|18265&1|73&0|8050&0|4517&0|2813&1|10448&0|7137&0|17808&0|9058&0|1437&0
15732&1|3135&1|17097&1|6691&1|15732&1|17097&1|17097&0|17097&1|17097&1|6691&1;15732&0|17097&0|10439&0;15732&1|3135&1|17097&1|6691&1|15732&1|17097&1|17097&0|17097&1|17097&1|6691&1|15732&0|17097&0|10439&0
10611&0|15216&1|4118&1|4118&1|4378&1|11813&0|10611&0|16975&0|15216&0|15505&0;2109&1|5901&1|15988&1;10611&0|15216&1|4118&1|4118&1|4378&1|11813&0|10611&0|16975&0|15216&0|15505&0|2109&1|5901&1|15988&1
8756&0|10380&1|822&1|14803&0|8415&0|8425&0|2895&0|4295&0|8390&1|5536&0;13270&1|16624&0|17028&0;8756&0|10380&1|822&1|14803&0|8415&0|8425&0|2895&0|4295&0|8390&1|5536&0|13270&1|16624&0|17028&0
2310&1|1828&1|14319&0|9449&1|9289&1|13282&1|6464&1|9265&1|4100&1|16478&1;19602&1|12119&1|16413&1;2310&1|1828&1|14319&0|9449&1|9289&1|13282&1|6464&1|9265&1|4100&1|16478&1|19602&1|12119&1|16413&1
2633&0|15140&0|15330&0|18508&0|203&0|2670&0|1944&0|4938&0|6857&1|10887&0;6840&0|1168&0|19779&0;2633&0|15140&0|15330&0|18508&0|203&0|2670&0|1944&0|4938&0|6857&1|10887&0|6840&0|1168&0|19779&0
230&1|15311&0|10685&0|458&1|15442&0|13479&0|19476&0|15562&1|9484&0|43&1;4063&0|8296&0|9969&1;230&1|15311&0|10685&0|458&1|15442&0|13479&0|19476&0|15562&1|9484&0|43&1|4063&0|8296&0|9969&1
3230&0|2233&0|5301&0|15344&1|6355&1|20330&0|20141&1|15982&0|5879&0|1282&1;842&0|14718&1|12048&0;3230&0|2233&0|5301&0|15344&1|6355&1|20330&0|20141&1|15982&0|5879&0|1282&1|842&0|14718&1|12048&0
7692&1|7291&1|12507&1|4192&0|7291&1|2526&1|19586&1|9853&1|15216&1|12507&1;8718&0|19752&0|20683&0;7692&1|7291&1|12507&1|4192&0|7291&1|2526&1|19586&1|9853&1|15216&1|12507&1|8718&0|19752&0|20683&0
16394&1|5148&0|3477&0|16313&1|17956&0|1299&0|6725&1|12143&0|1299&0|12729&1;2259&0|3429&0|9206&0;16394&1|5148&0|3477&0|16313&1|17956&0|1299&0|6725&1|12143&0|1299&0|12729&1|2259&0|3429&0|9206&0
13882&0|5230&0|16623&0|15346&0|20724&0|798&0|12024&0|4292&0|8685&0|3985&0;9313&1|16734&0|4353&1;13882&0|5230&0|16623&0|15346&0|20724&0|798&0|12024&0|4292&0|8685&0|3985&0|9313&1|16734&0|4353&1
18728&1|11519&0|18764&0|19550&0|15239&0|11715&1|15239&0|11819&1|10282&0|19550&1;15760&0|14645&1|10168&0;18728&1|11519&0|18764&0|19550&0|15239&0|11715&1|15239&0|11819&1|10282&0|19550&1|15760&0|14645&1|10168&0
6181&0|10581&1|5875&1|7744&0|12636&1|16899&1|6400&1|11485&1|10580&0|4017&1;2731&1|12696&1|15697&1;6181&0|10581&1|5875&1|7744&0|12636&1|16899&1|6400&1|11485&1|10580&0|4017&1|2731&1|12696&1|15697&1
5511&0|11073&0|2037&0|16563&0|19305&1|10409&0|3795&1|19745&0|9366&0|12603&0;8330&0|8330&0|4724&0;5511&0|11073&0|2037&0|16563&0|19305&1|10409&0|3795&1|19745&0|9366&0|12603&0|8330&0|8330&0|4724&0
13088&1|4394&1|3659&1|9928&1|4057&1|4394&1|17835&1|10689&0|4057&1|9928&1;17835&1|10689&1|982&1;13088&1|4394&1|3659&1|9928&1|4057&1|4394&1|17835&1|10689&0|4057&1|9928&1|17835&1|10689&1|982&1
3500&1|2596&0|13013&0|1767&1|7363&0|18718&0|15003&0|2946&0|7363&0|12558&0;18540&0|2596&0|2946&0;3500&1|2596&0|13013&0|1767&1|7363&0|18718&0|15003&0|2946&0|7363&0|12558&0|18540&0|2596&0|2946&0
20735&1|11400&1|3500&1|12604&1|14842&1|20301&1|9853&1|7363&1|4017&1|19534&1;2946&1|15003&1|10834&1;20735&1|11400&1|3500&1|12604&1|14842&1|20301&1|9853&1|7363&1|4017&1|19534&1|2946&1|15003&1|10834&1
8566&1|13163&1|2494&1|4192&1|4118&0|13598&1|10364&1|6779&1|3500&1|15732&1;19783&1|12411&1|13709&1;8566&1|13163&1|2494&1|4192&1|4118&0|13598&1|10364&1|6779&1|3500&1|15732&1|19783&1|12411&1|13709&1
15100&0|17248&1|9711&0|1758&0|15100&0|14444&0|16796&1|37&0|20047&0|11555&0;16564&0|2301&0|5920&0;15100&0|17248&1|9711&0|1758&0|15100&0|14444&0|16796&1|37&0|20047&0|11555&0|16564&0|2301&0|5920&0
4755&1|663&1|20409&1|4755&0|10970&1|5323&1|18657&1|5962&0|8052&1|1491&1;16587&0|137&0|14392&0;4755&1|663&1|20409&1|4755&0|10970&1|5323&1|18657&1|5962&0|8052&1|1491&1|16587&0|137&0|14392&0
20010&1|8395&1|3905&1|3178&1|2887&1|6360&1|20029&1|12926&1|7141&1|4017&1;13709&1|15216&1|17356&0;20010&1|8395&1|3905&1|3178&1|2887&1|6360&1|20029&1|12926&1|7141&1|4017&1|13709&1|15216&1|17356&0
16170&1|13312&0|5914&0|2596&0|8286&0|18540&1|9695&0|13312&1|8286&0|16795&0;10834&1|14484&0|20476&0;16170&1|13312&0|5914&0|2596&0|8286&0|18540&1|9695&0|13312&1|8286&0|16795&0|10834&1|14484&0|20476&0
1284&0|18540&0|6091&0|13751&1|18947&0|9405&0|18862&0|11749&1|8837&0|4017&1;19317&1|8345&0|19472&0;1284&0|18540&0|6091&0|13751&1|18947&0|9405&0|18862&0|11749&1|8837&0|4017&1|19317&1|8345&0|19472&0
12721&1|20657&0|1383&1|9810&0|18425&0|5611&0|13682&0|1716&1|11870&1|19383&1;13813&1|4453&1|9282&0;12721&1|20657&0|1383&1|9810&0|18425&0|5611&0|13682&0|1716&1|11870&1|19383&1|13813&1|4453&1|9282&0
5196&0|19752&0|15500&0|480&0|14842&0|13018&0|8018&0|12604&1|1072&0|17537&0;6943&0|9439&0|2634&0;5196&0|19752&0|15500&0|480&0|14842&0|13018&0|8018&0|12604&1|1072&0|17537&0|6943&0|9439&0|2634&0
15335&0|6828&0|3082&0|4458&1|8323&0|8924&0|6997&0|19341&0|12043&0|18047&0;7912&0|9507&0|19685&0;15335&0|6828&0|3082&0|4458&1|8323&0|8924&0|6997&0|19341&0|12043&0|18047&0|7912&0|9507&0|19685&0
1222&1|17782&1|19269&1|1222&0|2764&0|1222&1|1222&0|19269&1|19269&1|1222&0;11080&1|7033&1|6659&0;1222&1|17782&1|19269&1|1222&0|2764&0|1222&1|1222&0|19269&1|19269&1|1222&0|11080&1|7033&1|6659&0
15053&0|5559&0|13878&0|6768&0|6768&0|13878&1|13878&0|20446&0|15053&0|5771&0;5771&1|7868&0|9354&1;15053&0|5559&0|13878&0|6768&0|6768&0|13878&1|13878&0|20446&0|15053&0|5771&0|5771&1|7868&0|9354&1
5900&1|15992&1|9439&1|20735&1|17746&1|17040&1|20285&1|10970&1|13057&1|11945&1;12604&1|11945&0|3500&1;5900&1|15992&1|9439&1|20735&1|17746&1|17040&1|20285&1|10970&1|13057&1|11945&1|12604&1|11945&0|3500&1
5621&1|9078&1|15107&1|14973&1|17814&1|6057&1|6149&0|18607&0|13188&0|5371&1;9636&1|11749&1|10550&1;5621&1|9078&1|15107&1|14973&1|17814&1|6057&1|6149&0|18607&0|13188&0|5371&1|9636&1|11749&1|10550&1
11762&0|15581&0|15216&1|5564&0|15216&0|4312&0|8981&0|7162&0|3490&0|18940&0;4017&0|1284&0|18075&0;11762&0|15581&0|15216&1|5564&0|15216&0|4312&0|8981&0|7162&0|3490&0|18940&0|4017&0|1284&0|18075&0
3051&1|16328&1|6130&1|16612&0|17503&1|13296&0|3991&1|7291&1|16706&1|12490&0;9920&1|5423&1|70&1;3051&1|16328&1|6130&1|16612&0|17503&1|13296&0|3991&1|7291&1|16706&1|12490&0|9920&1|5423&1|70&1
2832&1|20481&1|20481&0|231&1|8837&0|8837&1|15992&0|231&0|15216&1|17932&0;8837&0|15216&1|9853&0;2832&1|20481&1|20481&0|231&1|8837&0|8837&1|15992&0|231&0|15216&1|17932&0|8837&0|15216&1|9853&0
18078&0|15115&0|13077&0|18757&0|2312&0|8191&0|16760&0|16898&0|8428&1|108&0;8527&0|7860&0|8527&0;18078&0|15115&0|13077&0|18757&0|2312&0|8191&0|16760&0|16898&0|8428&1|108&0|8527&0|7860&0|8527&0
865&1|5173&0|12664&0|10187&0|11432&1|4789&0|2868&0|8771&0|5022&0|19584&0;1859&0|15117&0|4714&0;865&1|5173&0|12664&0|10187&0|11432&1|4789&0|2868&0|8771&0|5022&0|19584&0|1859&0|15117&0|4714&0
12421&0|13631&0|4655&0|8948&0|10472&0|16888&0|7947&0|2345&0|11632&0|5220&0;6738&0|11405&0|10016&0;12421&0|13631&0|4655&0|8948&0|10472&0|16888&0|7947&0|2345&0|11632&0|5220&0|6738&0|11405&0|10016&0
2564&0|1234&0|5681&1|9273&0|14292&0|1318&0|6862&0|14209&0|10543&0|11692&0;1224&0|18968&0|3675&0;2564&0|1234&0|5681&1|9273&0|14292&0|1318&0|6862&0|14209&0|10543&0|11692&0|1224&0|18968&0|3675&0
7305&1|7305&0|88&0|5915&1|16567&0|13014&1|16567&1|5915&1|18630&1|4417&0;1432&1|9706&1|88&0;7305&1|7305&0|88&0|5915&1|16567&0|13014&1|16567&1|5915&1|18630&1|4417&0|1432&1|9706&1|88&0
1399&0|13187&1|5194&0|1381&1|7362&0|4019&0|13176&0|6919&0|5785&0|4513&1;10958&0|14324&1|20528&0;1399&0|13187&1|5194&0|1381&1|7362&0|4019&0|13176&0|6919&0|5785&0|4513&1|10958&0|14324&1|20528&0
16625&1|17634&0|421&0|6396&0|19900&0|18158&0|4316&0|5714&0|18018&0|4370&0;20743&0|9522&0|1769&0;16625&1|17634&0|421&0|6396&0|19900&0|18158&0|4316&0|5714&0|18018&0|4370&0|20743&0|9522&0|1769&0
6103&0|20619&0|2925&0|6670&1|11279&0|19255&0|6729&1|20619&0|7227&0|6670&0;7374&1|19526&1|16213&1;6103&0|20619&0|2925&0|6670&1|11279&0|19255&0|6729&1|20619&0|7227&0|6670&0|7374&1|19526&1|16213&1
13259&1|19930&1|17660&0|10095&1|19530&1|10422&1|8756&1|18522&1|12037&1|1044&1;10289&0|14803&1|1105&0;13259&1|19930&1|17660&0|10095&1|19530&1|10422&1|8756&1|18522&1|12037&1|1044&1|10289&0|14803&1|1105&0
20683&0|163&0|9325&1|12655&0|16156&0|15089&0|19563&0|8599&1|19817&1|7291&0;10970&1|12555&0|37&0;20683&0|163&0|9325&1|12655&0|16156&0|15089&0|19563&0|8599&1|19817&1|7291&0|10970&1|12555&0|37&0
15879&0|3548&1|19609&0|3548&0|16217&0|1310&0|19674&0|19609&1|16795&0|19674&0;163&0|163&1|2654&0;15879&0|3548&1|19609&0|3548&0|16217&0|1310&0|19674&0|19609&1|16795&0|19674&0|163&0|163&1|2654&0
2494&0|13598&0|831&1|13163&0|4192&0|10364&0|9657&0|10642&0|5900&0|15216&0;15732&0|16975&0|13709&0;2494&0|13598&0|831&1|13163&0|4192&0|10364&0|9657&0|10642&0|5900&0|15216&0|15732&0|16975&0|13709&0
1712&0|1547&0|2273&0|10788&1|19907&0|1547&1|1547&0|6568&0|7553&0|1547&0;17818&1|2273&1|1547&1;1712&0|1547&0|2273&0|10788&1|19907&0|1547&1|1547&0|6568&0|7553&0|1547&0|17818&1|2273&1|1547&1
7778&1|4546&1|9187&1|17040&1|12745&1|11994&1|12438&1|10581&1|4675&0|8535&1;7744&1|4444&1|8924&1;7778&1|4546&1|9187&1|17040&1|12745&1|11994&1|12438&1|10581&1|4675&0|8535&1|7744&1|4444&1|8924&1
6376&1|18987&1|18725&1|6365&1|17753&0|17753&0|18987&0|18725&0|18725&0|17753&1;20730&1|8414&0|2413&0;6376&1|18987&1|18725&1|6365&1|17753&0|17753&0|18987&0|18725&0|18725&0|17753&1|20730&1|8414&0|2413&0
14842&0|3905&1|3525&0|16898&0|15161&0|9870&1|14040&0|428&0|19795&0|4505&0;15937&0|13858&0|5437&0;14842&0|3905&1|3525&0|16898&0|15161&0|9870&1|14040&0|428&0|19795&0|4505&0|15937&0|13858&0|5437&0
1898&1|13598&1|8286&0|15216&1|5591&1|7532&1|6631&1|3224&1|4192&0|13709&0;9428&1|1610&0|19651&1;1898&1|13598&1|8286&0|15216&1|5591&1|7532&1|6631&1|3224&1|4192&0|13709&0|9428&1|1610&0|19651&1
17757&0|2465&0|9965&0|20580&0|761&0|20411&0|447&0|13726&0|9965&0|447&0;755&0|9274&0|8788&0;17757&0|2465&0|9965&0|20580&0|761&0|20411&0|447&0|13726&0|9965&0|447&0|755&0|9274&0|8788&0
7162&1|10364&1|10642&1|4118&1|13598&1|9853&1|9942&1|4192&1|9657&1|4017&1;15732&0|3500&0|13709&1;7162&1|10364&1|10642&1|4118&1|13598&1|9853&1|9942&1|4192&1|9657&1|4017&1|15732&0|3500&0|13709&1
6977&1|18183&1|19086&1|13263&1|8306&1|8571&1|5025&1|13313&1|8784&1|1695&1;4019&1|16612&0|7291&1;6977&1|18183&1|19086&1|13263&1|8306&1|8571&1|5025&1|13313&1|8784&1|1695&1|4019&1|16612&0|7291&1
3184&0|11726&0|8617&0|19728&0|10170&1|3700&1|17944&0|14703&1|19749&1|8278&0;14461&1|8567&0|17801&1;3184&0|11726&0|8617&0|19728&0|10170&1|3700&1|17944&0|14703&1|19749&1|8278&0|14461&1|8567&0|17801&1
7395&0|8426&0|20639&0|15864&0|17356&1|11213&0|13713&0|2495&1|18351&0|17537&0;15636&1|11213&1|6715&1;7395&0|8426&0|20639&0|15864&0|17356&1|11213&0|13713&0|2495&1|18351&0|17537&0|15636&1|11213&1|6715&1
11618&0|13872&0|10052&1|14793&0|15274&0|14964&1|17336&0|6105&1|15274&0|4174&0;11223&1|18401&0|14964&0;11618&0|13872&0|10052&1|14793&0|15274&0|14964&1|17336&0|6105&1|15274&0|4174&0|11223&1|18401&0|14964&0
6785&0|11844&0|8761&0|6131&0|1693&1|13770&0|12702&1|1812&1|18217&1|6362&1;16289&1|11365&1|12034&1;6785&0|11844&0|8761&0|6131&0|1693&1|13770&0|12702&1|1812&1|18217&1|6362&1|16289&1|11365&1|12034&1
16401&0|11417&0|6791&1|10574&1|6796&1|4553&1|9321&1|17705&1|3969&0|20587&0;6791&0|14134&1|20171&0;16401&0|11417&0|6791&1|10574&1|6796&1|4553&1|9321&1|17705&1|3969&0|20587&0|6791&0|14134&1|20171&0
4017&1|12604&0|7162&0|9657&0|20481&1|11749&0|13598&0|14047&0|12765&0|11484&0;1284&0|1224&0|10642&0;4017&1|12604&0|7162&0|9657&0|20481&1|11749&0|13598&0|14047&0|12765&0|11484&0|1284&0|1224&0|10642&0
17433&0|13341&1|16303&0|11555&1|14311&1|5196&0|9733&0|1701&1|14463&1|3135&1;18066&0|17427&0|12137&0;17433&0|13341&1|16303&0|11555&1|14311&1|5196&0|9733&0|1701&1|14463&1|3135&1|18066&0|17427&0|12137&0
1942&1|15216&1|10347&1|1224&1|16820&1|2301&1|10339&1|1224&0|9192&1|14005&1;10900&0|3905&1|13825&1;1942&1|15216&1|10347&1|1224&1|16820&1|2301&1|10339&1|1224&0|9192&1|14005&1|10900&0|3905&1|13825&1
5915&1|5703&0|11555&1|6485&1|5915&0|15581&1|8052&1|663&0|1094&1|1094&0;3591&0|9700&1|14292&1;5915&1|5703&0|11555&1|6485&1|5915&0|15581&1|8052&1|663&0|1094&1|1094&0|3591&0|9700&1|14292&1
10595&0|20481&0|11682&0|11749&1|8566&0|10364&0|1224&0|16303&0|4017&0|11555&1;12602&0|11012&0|18657&0;10595&0|20481&0|11682&0|11749&1|8566&0|10364&0|1224&0|16303&0|4017&0|11555&1|12602&0|11012&0|18657&0
6305&0|6305&0|20628&1|17719&0|6305&0|17719&0|4225&0|1943&0|6305&0|3703&0;4225&0|4225&0|4225&0;6305&0|6305&0|20628&1|17719&0|6305&0|17719&0|4225&0|1943&0|6305&0|3703&0|4225&0|4225&0|4225&0
12881&1|1059&1|5371&0|18947&1|9078&1|3246&0|10339&0|18606&0|14387&0|12193&0;14562&1|4017&1|20499&1;12881&1|1059&1|5371&0|18947&1|9078&1|3246&0|10339&0|18606&0|14387&0|12193&0|14562&1|4017&1|20499&1
20236&1|11136&1|16795&0|13301&0|16795&0|16795&0|8566&1|39&1|8448&0|6323&1;10943&1|14775&1|11122&0;20236&1|11136&1|16795&0|13301&0|16795&0|16795&0|8566&1|39&1|8448&0|6323&1|10943&1|14775&1|11122&0
18940&1|17226&0|18394&0|12431&0|12602&0|9919&0|6778&0|17927&0|10425&1|9813&0;8071&1|3098&1|17675&1;18940&1|17226&0|18394&0|12431&0|12602&0|9919&0|6778&0|17927&0|10425&1|9813&0|8071&1|3098&1|17675&1
18137&1|12123&1|16496&0|12366&1|2168&1|9565&1|17136&1|7071&1|589&1|11623&1;11434&1|13558&1|4977&1;18137&1|12123&1|16496&0|12366&1|2168&1|9565&1|17136&1|7071&1|589&1|11623&1|11434&1|13558&1|4977&1
6542&1|5420&1|19587&0|11337&1|4017&1|11945&1|15216&1|17865&1|12880&1|16547&1;1284&1|4780&1|13163&1;6542&1|5420&1|19587&0|11337&1|4017&1|11945&1|15216&1|17865&1|12880&1|16547&1|1284&1|4780&1|13163&1
13163&1|8566&1|15216&1|10642&0|9942&1|3500&0|13598&0|9853&0|7162&1|9657&1;15732&0|16975&1|19783&0;13163&1|8566&1|15216&1|10642&0|9942&1|3500&0|13598&0|9853&0|7162&1|9657&1|15732&0|16975&1|19783&0
752&1|13474&0|17694&0|19333&0|9325&0|16666&0|8599&0|11682&1|3025&0|15609&0;11012&0|1990&0|13312&1;752&1|13474&0|17694&0|19333&0|9325&0|16666&0|8599&0|11682&1|3025&0|15609&0|11012&0|1990&0|13312&1
12452&0|6580&1|11003&0|1120&0|16254&0|15644&0|12586&0|17903&0|514&0|18816&0;9860&0|8039&0|9422&0;12452&0|6580&1|11003&0|1120&0|16254&0|15644&0|12586&0|17903&0|514&0|18816&0|9860&0|8039&0|9422&0
17478&0|1372&1|1372&1|1372&1|17478&0|17478&1|10553&1|17478&1|17478&0|1372&1;5333&1|20385&0|4350&1;17478&0|1372&1|1372&1|1372&1|17478&0|17478&1|10553&1|17478&1|17478&0|1372&1|5333&1|20385&0|4350&1
10827&1|19534&1|5703&1|10349&0|16730&1|6091&1|19243&1|7833&1|10594&1|4247&1;6091&1|10349&1|15949&1;10827&1|19534&1|5703&1|10349&0|16730&1|6091&1|19243&1|7833&1|10594&1|4247&1|6091&1|10349&1|15949&1
7053&0|9242&0|18072&0|5868&0|4532&0|17555&0|15488&0|1185&0|18721&0|6672&0;5818&0|19128&1|16085&0;7053&0|9242&0|18072&0|5868&0|4532&0|17555&0|15488&0|1185&0|18721&0|6672&0|5818&0|19128&1|16085&0
6816&1|12816&1|818&0|4511&1|818&1|1646&1|1646&0|3896&1|17251&1|3896&0;8115&1|10637&1|19935&1;6816&1|12816&1|818&0|4511&1|818&1|1646&1|1646&0|3896&1|17251&1|3896&0|8115&1|10637&1|19935&1
18591&0|1372&0|2923&1|9697&1|15146&1|13930&1|7563&1|9697&0|7563&0|17932&0;1226&0|20161&0|13136&0;18591&0|1372&0|2923&1|9697&1|15146&1|13930&1|7563&1|9697&0|7563&0|17932&0|1226&0|20161&0|13136&0
11361&1|6608&0|10538&0|10538&0|2969&1|20238&0|6608&0|10878&1|10878&0|9161&1;7417&0|11310&0|10970&0;11361&1|6608&0|10538&0|10538&0|2969&1|20238&0|6608&0|10878&1|10878&0|9161&1|7417&0|11310&0|10970&0
9942&1|16725&1|14926&1|12487&1|12787&1|6998&1|4017&0|6250&1|14656&0|11484&0;1224&0|5564&0|18075&0;9942&1|16725&1|14926&1|12487&1|12787&1|6998&1|4017&0|6250&1|14656&0|11484&0|1224&0|5564&0|18075&0
20409&0|12507&0|8108&0|14209&1|14089&0|6617&0|5323&1|2526&0|663&0|8052&0;7692&1|7692&0|12507&1;20409&0|12507&0|8108&0|14209&1|14089&0|6617&0|5323&1|2526&0|663&0|8052&0|7692&1|7692&0|12507&1
20432&0|6004&1|16986&1|18631&0|18631&1|4398&1|9429&0|4852&1|17437&1|7682&1;8837&1|16911&0|4775&1;20432&0|6004&1|16986&1|18631&0|18631&1|4398&1|9429&0|4852&1|17437&1|7682&1|8837&1|16911&0|4775&1
9735&0|7533&1|3706&0|18627&1|18209&1|18262&0|10179&0|17968&0|12683&0|14635&1;2995&0|6058&0|19146&0;9735&0|7533&1|3706&0|18627&1|18209&1|18262&0|10179&0|17968&0|12683&0|14635&1|2995&0|6058&0|19146&0
20387&0|15216&0|1284&0|12493&1|4017&0|11484&0|19094&0|1224&0|7162&1|18075&0;2993&1|20336&0|17709&0;20387&0|15216&0|1284&0|12493&1|4017&0|11484&0|19094&0|1224&0|7162&1|18075&0|2993&1|20336&0|17709&0
8934&0|5564&1|11484&0|2720&0|20387&0|19094&0|12588&0|18940&0|1224&0|19895&0;18886&1|8981&1|12604&1;8934&0|5564&1|11484&0|2720&0|20387&0|19094&0|12588&0|18940&0|1224&0|19895&0|18886&1|8981&1|12604&1
14843&0|11113&0|7363&0|12831&1|1601&0|11113&0|1601&0|5758&1|12831&0|3876&0;17841&1|9330&0|18296&0;14843&0|11113&0|7363&0|12831&1|1601&0|11113&0|1601&0|5758&1|12831&0|3876&0|17841&1|9330&0|18296&0
11749&1|15216&1|9439&1|2731&1|7291&1|18380&1|8943&1|10234&1|11484&1|12602&0;10463&1|2596&1|10463&0;11749&1|15216&1|9439&1|2731&1|7291&1|18380&1|8943&1|10234&1|11484&1|12602&0|10463&1|2596&1|10463&0
7335&0|18655&0|356&0|3857&0|13128&0|18763&0|15708&0|12172&0|9826&0|15659&0;10219&0|6542&1|356&1;7335&0|18655&0|356&0|3857&0|13128&0|18763&0|15708&0|12172&0|9826&0|15659&0|10219&0|6542&1|356&1
3820&1|4537&0|5201&1|17585&0|17245&1|10410&0|1713&0|1801&0|15988&0|20361&0;12851&0|4170&0|12638&0;3820&1|4537&0|5201&1|17585&0|17245&1|10410&0|1713&0|1801&0|15988&0|20361&0|12851&0|4170&0|12638&0
8728&1|2271&1|13694&1|16424&0|13119&0|17729&1|12926&1|13878&0|15143&0|7455&0;4105&0|20485&0|19567&0;8728&1|2271&1|13694&1|16424&0|13119&0|17729&1|12926&1|13878&0|15143&0|7455&0|4105&0|20485&0|19567&0
2334&0|821&1|821&0|2334&0|2334&0|11492&0|5246&0|11999&0|11999&0|5246&0;14648&0|1382&1|1382&0;2334&0|821&1|821&0|2334&0|2334&0|11492&0|5246&0|11999&0|11999&0|5246&0|14648&0|1382&1|1382&0
20481&0|1115&1|13540&1|18947&1|13598&0|3905&1|18947&1|3525&1|13598&1|15879&1;2993&1|2870&1|6400&1;20481&0|1115&1|13540&1|18947&1|13598&0|3905&1|18947&1|3525&1|13598&1|15879&1|2993&1|2870&1|6400&1
4906&1|1811&1|1248&1|13252&1|1830&0|10067&1|10067&1|1248&0|1241&1|1811&1;16308&0|1453&0|1930&0;4906&1|1811&1|1248&1|13252&1|1830&0|10067&1|10067&1|1248&0|1241&1|1811&1|16308&0|1453&0|1930&0
4588&0|12175&0|17637&1|15022&0|18362&1|51&1|10513&0|2877&0|17637&0|12308&0;20065&1|12435&0|3341&0;4588&0|12175&0|17637&1|15022&0|18362&1|51&1|10513&0|2877&0|17637&0|12308&0|20065&1|12435&0|3341&0
19716&1|13217&0|12836&0|86&1|9659&1|3436&0|11695&1|1365&1|20316&1|16190&1;17463&1|7300&1|1146&1;19716&1|13217&0|12836&0|86&1|9659&1|3436&0|11695&1|1365&1|20316&1|16190&1|17463&1|7300&1|1146&1
